,BODY SENSATION,EYES - DRY LEAF,EYES - LIQUOR,EYES - WET LEAF,GongFu Additional Seconds,GongFu First Infusion Seconds,GongFu No Infusions,GongFu g per 100ml,Link,MOUTH - FINISH,MOUTH - TASTE,MOUTH - TEXTURE,NOSE - DRY LEAF,NOSE - EMPTY CUP,NOSE - WET LEAF,Name,Number of Reviews,Price per Gram,Score,Type,Water Temperature,Western Additional Seconds,Western First Infusion Seconds,Western No Infusions,Western g per 100ml
0,"Settled, calm, and slightly warming.","Silver green, furry even buds.","Bright, pale, chartreuse.",Pistachio green buds with soft sheen.,5.0,30.0,7.0,4.0,https://meileaf.com/p/tea-silc/,"Soft, sticky and sweet.",Cooked soya milk and nougat with green grapes.,"Thick, sticky yet creamy soft liquor.","Malt, nougat and mint humbugs.",Light maple syrup.,"Rice pudding, fennel seeds and digestive biscuits.",Heirloom Silver Needle,133.0,1.17,94.0,White,95.0,30.0,180.0,3.0,0.0
1,Bright and awakening.,"Rolled, pine and bottle green leaves.",Nashi pear green liquor.,Delicate asparagus green buds and young leaves.,10.0,30.0,7.0,3.0,https://meileaf.com/p/tea-jafc/,"Quenching to sweet, melon juiciness.","Pomelo, winter melon, frangipane and sweet biscuits.",Quenching and juicy.,Chocolate chip cookies.,Bakewell tarts.,"Raw dough, dried peas and cassis syrup.",Jade Fire,109.0,0.27,91.0,Green,80.0,30.0,120.0,2.0,0.0
2,Warming yet refreshing.,Asparagus green and mustard straight bud and one leaf.,Bright and pale genepi green liquor with lots of trichomes.,Light olive green buds and baby leaves.,5.0,30.0,5.0,3.0,https://meileaf.com/p/tea-ymfc/,Tingly and juicy with a fresh but sweet aftertaste.,"Dewy summer morning air, creamy taro and Williams pears and icing sugar.",Thick and soft.,Chocolate shortbread and toasted hazelnuts.,"Apricot jam, meringue and almonds","Wild flower honey, toasted broadbeans and green melon.",Fur Peak,181.0,0.38,93.0,Green,85.0,60.0,180.0,2.0,0.0
3,Settled yet awakening.,Matt textured kelp green medium leaves with lime green shading.,Bright lemon yellow.,Army green leaves with no stems.,10.0,30.0,5.0,3.0,https://meileaf.com/p/tea-lagc/,Sweet and juicy.,"Chard, baked potato moving to vanilla cheesecake, blanched almonds and lemon oil.",Thick and oily.,Taro chips and grenadine.,Cherry shortcake.,Fresh blueberries and creme de marron.,Melon Seed Green,364.0,0.31,84.0,Green,90.0,60.0,120.0,2.0,0.0
4,Mildly energizing.,Wet beaver brown twisted large leaves.,Rose tinted pale golden liquor,Tortoiseshell green leaves.,5.0,20.0,9.0,5.0,https://meileaf.com/p/tea-ducc/,Smooth and soft with a slight dry to juicy finish.,"Melted butter, dried raspberries and river rocks.",Soft and creamy.,"Raspberry jam and buttered, dark toasted breads.",Melted butter and macadamia nuts.,Cherry and butter pancake.,Duck Sh*t Oolong,519.0,0.61,90.0,Oolong,99.0,30.0,120.0,4.0,0.0
5,Bright yet meditative high and happy energy.,"Vibrant, deep, rich emerald green powder.",Kiwi flesh green.,n/a,0.0,0.0,0.0,0.0,https://meileaf.com/p/tea-hmmc/,"Fresh, cooling lemon balm sweetness and creamy coating.","Peanuts, whipped cream, granola and lemon balm.","Ultra smooth, round and soft in the mouth.","Dark pralines, sweet soy and creme caramel.",Spiced oat and nut cookies and vanilla yoghurt.,Peanut butter and maple syrup.,Master's Matcha,229.0,0.97,97.0,Green,0.0,0.0,0.0,0.0,0.0
6,Bright and alert yet easy and happy.,Kiwi and pistachio green leaves with toasted yellow fluff.,Bright citrine yellow.,Pickle green buds and leaves with chartreuse highlights.,5.0,20.0,6.0,3.0,https://meileaf.com/p/tea-impc/,Light grip moving to lemon drop sweetness.,"Sweet buns filled with adzuki beans, snow, aloe and almond milk.",Medium and soft.,Sweet pecan pralines and toasted edamame.,Madeira cake.,"Cooked borlotti beans, bone broth, crumpets and strawberry jam.",Imperial Green - Pre Qing Ming,856.0,0.22,88.0,Green,85.0,60.0,120.0,2.0,0.0
7,Woozy happiness.,Prune and tan medium leaves.,Caramel gold.,Deep khaki leaves.,5.0,25.0,9.0,5.0,https://meileaf.com/p/tea-sumc/,Rocky dry and vaporous eventually leading to a flooding sweetness.,"Boiled grapefruit candy, cranberry and peach with oregano and light orchids.",Medium and very mineral.,Hazelnut caramel and cooked cherries.,Dates and fudge.,"Mango, oregano and varnished woods.",Summer Haze,425.0,100.0,91.0,Oolong,99.0,30.0,120.0,3.0,0.0
8,Gentle sense of calm and warmth.,Blend of large dark brown and auburn tinged leaves.,Vibrant orange brown.,"Glossy black olive leaves with a textured, leather sheen.",5.0,25.0,10.0,5.0,https://meileaf.com/p/tea-empc/,"Juicy, tingly with a sweet mangosteen aftertaste.","Pannacotta, cooked peaches, fudge and cherry cough sweets.",Medium to thick.,Dried cherries and rum.,Raspberries and hazelnut nougat.,"Peach, vanilla and dark baked bread.",Empress Oolong,629.0,0.43,90.0,Oolong,99.0,30.0,120.0,3.0,0.0
9,Sustained energy.,Damson medium leaves.,Rose tinted golden brown.,Purple browna dn khaki leaves.,5.0,25.0,9.0,5.0,https://meileaf.com/p/tea-phoc/,"Soft, smooth with a very slight dryness to sweet juiciness.",Cooked clementine and thyme polenta cake. Doughnut peaches and forest honey.,Medium thick.,Deep baked gingerbread and salted caramel.,"Candyfloss, tarte tatin and suede.","Baked, peach cobbler, vinyl, fresh cut pinewood and orange candy.",Royal Peach Orchid,448.0,0.5,92.0,Oolong,95.0,30.0,120.0,3.0,0.0
